district,brand_name,branch_name,addr_raw,address_norm,source_id,center_source,match_level,lon,lat
南化區,統一超商股份有限公司,台南市第二八七分公司,臺南市南化區南化里128號1樓,台南市南化區南化里128號,51780900,map.com.tw-js:2,PAGE_FALLBACK,120.477814,23.043054
南化區,萊爾富國際股份有限公司,第四八九九分公司,臺南市南化區北寮里北寮11號1樓,台南市南化區北寮里北寮11號,91052408,map.com.tw-js:2,PAGE_FALLBACK,120.490717,23.078339
南區,全家便利商店股份有限公司,台南市第二一0分公司,臺南市南區大同路二段136巷2號,台南市南區大同路2段136巷2號,54382862,map.com.tw-js:2,PAGE_FALLBACK,120.212617,22.979162
南區,全家便利商店股份有限公司,台南市第二七○分公司,臺南市南區郡南里德興路47之1號,台南市南區郡南里德興路47之1號,90728447,map.com.tw-js:2,PAGE_FALLBACK,120.192391,22.966233
南區,全家便利商店股份有限公司,台南市第二三六分公司,臺南市南區喜北里喜樹路220號,台南市南區喜北里喜樹路220號,51665606,map.com.tw-js:2,PAGE_FALLBACK,120.177311,22.941449
南區,全聯實業股份有限公司,台南興昌分公司,臺南市南區大成里興昌路38巷1號,台南市南區大成里興昌路38巷1號,90270270,map.com.tw-js:2,PAGE_FALLBACK,120.199326,22.976956
南區,統一超商股份有限公司,台南巿第四十六分公司,臺南市南區大恩里國民路152號1樓,台南市南區大恩里國民路152號,23827448,map.com.tw-js:2,PAGE_FALLBACK,120.212074,22.967538
南區,統一超商股份有限公司,台南市第三一六分公司,臺南市南區大同路2段136巷3號1樓,台南市南區大同路2段136巷3號,54918231,map.com.tw-js:2,PAGE_FALLBACK,120.212688,22.978742
南區,統一超商股份有限公司,台南市第二三九分公司,臺南市南區大忠里中華南路1段178號1樓,台南市南區大忠里中華南路1段178號,54378038,map.com.tw-js:2,PAGE_FALLBACK,120.211264,22.970520
南區,萊爾富國際股份有限公司,第三五二二分公司,臺南市南區開南里新建路37巷2號1樓,台南市南區開南里新建路37巷2號,28428764,map.com.tw-js:2,PAGE_FALLBACK,120.185623,22.968662
善化區,全家便利商店股份有限公司,台南市第二七四分公司,臺南市善化區胡家里胡厝寮29之6號,台南市善化區胡家里胡厝寮29之6號,90678283,map.com.tw-js:2,PAGE_FALLBACK,120.272625,23.144442
