id,source_table,source_id,district,project_name,road,builder,household,use_zoning,main_use,main_material,declare_date,selling_period,building_lands,building_permit_date,building_permit_no,first_registration_date,address_seed,address_norm,lon,lat,center_source,match_level,extra,created_at,updated_at,geom_center_wkt
151,presale_csv,佳里區|真合邑6|同安寮|(110)南工造字第03119號,佳里區,真合邑6,同安寮,得邦建設有限公司,18,住宅區,住宅、集合住宅、停車空間,鋼筋混凝土造,1110214,自售:1110214~1121231,新宅段487-17地號,,(110)南工造字第03119號,,台南市佳里區同安寮,台南市佳里區同安寮,,,NONE,NONE,"{'builder': '得邦建設有限公司', 'main_use': '住宅、集合住宅、停車空間', 'household': '18', 'use_zoning': '住宅區', 'declare_date': '1110214', 'main_material': '鋼筋混凝土造', 'building_lands': None, 'selling_period': '自售:1110214~1121231', 'building_permit_no': '(110)南工造字第03119號', 'building_permit_date': None, 'first_registration_date': None}",2026-03-19 15:48:10.336040+00:00,2026-03-20 12:41:06.145999+00:00,
586,presale_csv,佳里區|臺邦La Vie|東寧里東寧74之號旁|(112)南工造字第02757號,佳里區,臺邦La Vie,東寧里東寧74之號旁,臺邦開發建設股份有限公司,31,特定農業區甲種建築用地,住家用,鋼筋混凝土造,1130108,自售:無,佳里段251-4地號,,(112)南工造字第02757號,,台南市佳里區東寧里東寧74之號旁,台南市佳里區東寧里東寧74之號,,,NONE,NONE,"{'builder': '臺邦開發建設股份有限公司', 'main_use': '住家用', 'household': '31', 'use_zoning': '特定農業區甲種建築用地', 'declare_date': '1130108', 'main_material': '鋼筋混凝土造', 'building_lands': None, 'selling_period': '自售:無', 'building_permit_no': '(112)南工造字第02757號', 'building_permit_date': None, 'first_registration_date': None}",2026-03-19 15:48:10.336040+00:00,2026-03-20 12:41:06.145999+00:00,
705,presale_csv,佳里區|藏鑽十二期|海澄里番子寮6之22號旁|113南工造字第01704號,佳里區,藏鑽十二期,海澄里番子寮6之22號旁,徠發建設有限公司,17,鄉村區乙種建築用地,住家用,鋼筋混凝土,1130807,自售:無,新安段102地號,,113南工造字第01704號,,台南市佳里區海澄里番子寮6之22號旁,台南市佳里區海澄里番子寮6之22號,,,NONE,NONE,"{'builder': '徠發建設有限公司', 'main_use': '住家用', 'household': '17', 'use_zoning': '鄉村區乙種建築用地', 'declare_date': '1130807', 'main_material': '鋼筋混凝土', 'building_lands': None, 'selling_period': '自售:無', 'building_permit_no': '113南工造字第01704號', 'building_permit_date': None, 'first_registration_date': None}",2026-03-19 15:48:10.336040+00:00,2026-03-20 12:41:06.145999+00:00,
800,presale_csv,六甲區|九鈿富家|中社里中社62號西側|(113)南工造字第03149,六甲區,九鈿富家,中社里中社62號西側,九鈿建設開發股份有限公司,16,鄉村區,住家用,鋼筋混凝土造,1140110,自售:1140201~1160131,中社段136-8地號,,(113)南工造字第03149,,台南市六甲區中社里中社62號西側,台南市六甲區中社里中社62號,,,NONE,NONE,"{'builder': '九鈿建設開發股份有限公司', 'main_use': '住家用', 'household': '16', 'use_zoning': '鄉村區', 'declare_date': '1140110', 'main_material': '鋼筋混凝土造', 'building_lands': None, 'selling_period': '自售:1140201~1160131', 'building_permit_no': '(113)南工造字第03149', 'building_permit_date': None, 'first_registration_date': None}",2026-03-19 15:48:10.336040+00:00,2026-03-20 12:41:06.145999+00:00,
899,presale_csv,六甲區|吾映良品21|中社里中社459號旁|(114)南工造字第00512號,六甲區,吾映良品21,中社里中社459號旁,京杭建設有限公司,48,鄉村區,集合住宅,鋼筋混凝土造,1140829,自售:無,中社段174地號,,(114)南工造字第00512號,,台南市六甲區中社里中社459號旁,台南市六甲區中社里中社459號,,,NONE,NONE,"{'builder': '京杭建設有限公司', 'main_use': '集合住宅', 'household': '48', 'use_zoning': '鄉村區', 'declare_date': '1140829', 'main_material': '鋼筋混凝土造', 'building_lands': None, 'selling_period': '自售:無', 'building_permit_no': '(114)南工造字第00512號', 'building_permit_date': None, 'first_registration_date': None}",2026-03-19 15:48:10.336040+00:00,2026-03-20 12:41:06.145999+00:00,
31,presale_csv,六甲區|春暖花開|龜子港80巷29弄|(111)南工造字第02382號,六甲區,春暖花開,龜子港80巷29弄,春潤投資有限公司,25,鄉村區乙種建築用地,住宅,鋼筋混凝土造,1100910,自售:無,保生段7地號,,(111)南工造字第02382號,,台南市六甲區龜子港80巷29弄,台南市六甲區龜子港80巷29弄,,,NONE,NONE,"{'builder': '春潤投資有限公司', 'main_use': '住宅', 'household': '25', 'use_zoning': '鄉村區乙種建築用地', 'declare_date': '1100910', 'main_material': '鋼筋混凝土造', 'building_lands': None, 'selling_period': '自售:無', 'building_permit_no': '(111)南工造字第02382號', 'building_permit_date': None, 'first_registration_date': None}",2026-03-19 15:48:10.336040+00:00,2026-03-20 12:41:06.145999+00:00,
268,presale_csv,六甲區|清淞居2~Mr.田中|龜子港31巷|(111)南工造字第01550號,六甲區,清淞居2~Mr.田中,龜子港31巷,寶鋼建設有限公司代表人:林景祺,57,特定農業區甲種建築用地,住家用,鋼筋混凝土造,1110728,自售:無,龜子港段1683-2地號,,(111)南工造字第01550號,,台南市六甲區龜子港31巷,台南市六甲區龜子港31巷,,,NONE,NONE,"{'builder': '寶鋼建設有限公司代表人:林景祺', 'main_use': '住家用', 'household': '57', 'use_zoning': '特定農業區甲種建築用地', 'declare_date': '1110728', 'main_material': '鋼筋混凝土造', 'building_lands': None, 'selling_period': '自售:無', 'building_permit_no': '(111)南工造字第01550號', 'building_permit_date': None, 'first_registration_date': None}",2026-03-19 15:48:10.336040+00:00,2026-03-20 12:41:06.145999+00:00,
515,presale_csv,六甲區|清自朗|中社里|(112)南工造字第01311號,六甲區,清自朗,中社里,萬欣開發建設有限公司,72,鄉村區乙種建築用地,住宅,鋼筋混凝土造,1120815,自售:無,中社段113-9地號,,(112)南工造字第01311號,,台南市六甲區中社里,台南市六甲區中社里,,,NONE,NONE,"{'builder': '萬欣開發建設有限公司', 'main_use': '住宅', 'household': '72', 'use_zoning': '鄉村區乙種建築用地', 'declare_date': '1120815', 'main_material': '鋼筋混凝土造', 'building_lands': None, 'selling_period': '自售:無', 'building_permit_no': '(112)南工造字第01311號', 'building_permit_date': None, 'first_registration_date': None}",2026-03-19 15:48:10.336040+00:00,2026-03-20 12:41:06.145999+00:00,
797,presale_csv,六甲區|臺邦田園調布|龜子港31巷|(113)南工造字第03350號,六甲區,臺邦田園調布,龜子港31巷,臺邦開發建設股份有限公司,401,特定農業區甲種建築用地,店鋪 集合住宅,鋼筋混凝土造,1140108,自售:1140108~自完售止,龜子港段1710地號,,(113)南工造字第03350號,,台南市六甲區龜子港31巷,台南市六甲區龜子港31巷,,,NONE,NONE,"{'builder': '臺邦開發建設股份有限公司', 'main_use': '店鋪 集合住宅', 'household': '401', 'use_zoning': '特定農業區甲種建築用地', 'declare_date': '1140108', 'main_material': '鋼筋混凝土造', 'building_lands': None, 'selling_period': '自售:1140108~自完售止', 'building_permit_no': '(113)南工造字第03350號', 'building_permit_date': None, 'first_registration_date': None}",2026-03-19 15:48:10.336040+00:00,2026-03-20 12:41:06.145999+00:00,
896,presale_csv,北區|國泰原美|和緯路三段|(114)南工造字第01601號,北區,國泰原美,和緯路三段,國泰建設股份有限公司,133,住宅區,店舖、集合住宅,鋼筋混凝土造,1140815,自售:無,北元段1013地號,,(114)南工造字第01601號,,台南市北區和緯路三段,台南市北區和緯路3段,,,NONE,NONE,"{'builder': '國泰建設股份有限公司', 'main_use': '店舖、集合住宅', 'household': '133', 'use_zoning': '住宅區', 'declare_date': '1140815', 'main_material': '鋼筋混凝土造', 'building_lands': None, 'selling_period': '自售:無', 'building_permit_no': '(114)南工造字第01601號', 'building_permit_date': None, 'first_registration_date': None}",2026-03-19 15:48:10.336040+00:00,2026-03-20 12:41:06.145999+00:00,
