district,project_name,building_permit_no,road
鹽水區,宏彬1,南宮造字第02155號,月津路55巷
鹽水區,玥彎彎,(114)南工造字第01301號,西門路
麻豆區,人文私坊12期,(114)南工造字第02180號,建南街74巷
麻豆區,佳定富宇成佳,(110)南工造字第03754號,興國段
麻豆區,吉億．擁恆3,南工造字第01802~01809號,南48鄉道
麻豆區,吉億．擁恆5,南工造字第03661~03672號,南48鄉道
麻豆區,品學苑5,(111)南工造字第03448號,自由路
麻豆區,尚學,(114)南工造字第00081號,興農段
麻豆區,常鼎家圓3,(114)南工造字第01166-01號,總爺庄
麻豆區,逸墅家9-1期,(111)南工造字第02359號,自由路3號對面
麻豆區,逸墅家9期,(111)南工造字第01429-01號,自由路9之7號附近良皇宮的對面
麻豆區,陳新建設-深白序曲,(111)南工造字第02296號,安業
