source_id,name,district,addr_raw,address_norm,center_source,match_level,lon,lat
96797552,台南市第五四０分公司,學甲區,臺南市學甲區光華里中洲571號1樓,台南市學甲區光華里中洲571號,NONE,NONE,,
27251508,台南大安分公司,安南區,臺南市安南區大安里大安街140號1樓,台南市安南區大安里大安街140號,NONE,NONE,,
70773366,台南安中分公司,安南區,臺南市安南區梅花里安中路一段699巷1號1樓,台南市安南區梅花里安中路1段699巷1號,NONE,NONE,,
89391971,台南巿第六十六分公司,安南區,臺南市安南區淵中里安中路三段４３５．４３７號１樓,台南市安南區淵中里安中路3段435437號,NONE,NONE,,
24788675,台南市第一一五分公司,安南區,臺南市安南區塭南里22鄰長和路2段12巷272號1樓,台南市安南區塭南里22鄰長和路2段12巷272號,NONE,NONE,,
27259641,台南市第一六三分公司,安南區,臺南市安南區鹿耳里鹽田路2號1樓,台南市安南區鹿耳里鹽田路2號,NONE,NONE,,
70770608,台南市第一四四分公司,安南區,臺南市安南區安東里安和路一段三０八號,台南市安南區安東里安和路1段三0八號,NONE,NONE,,
83360986,台南市第三六四分公司,安南區,臺南市安南區溪東里府安路五段98巷56弄33號1樓,台南市安南區溪東里府安路5段98巷56弄33號,NONE,NONE,,
54391996,台南市第二一二分公司,安南區,臺南市安南區長和路二段12巷275號,台南市安南區長和路2段12巷275號,NONE,NONE,,
24814126,台南市第二九一分公司,安南區,臺南市安南區梅花里安中路1段701巷33、35號1樓,台南市安南區梅花里安中路1段701巷33、35號,NONE,NONE,,
83526712,台南市第二五O分公司,安南區,臺南市安南區海佃里國安街56巷73號、75號,台南市安南區海佃里國安街56巷73號,NONE,NONE,,
60635679,台南市第四九三分公司,安南區,臺南市安南區大安里義安街86巷29、31號1樓,台南市安南區大安里義安街86巷29、31號,NONE,NONE,,
00189318,台南市第四八二分公司,安南區,臺南市安南區海佃路四段55巷177號1樓,台南市安南區海佃路4段55巷177號,NONE,NONE,,
80688038,南縣南定分公司,安定區,臺南市安定區六嘉村三二之一號一樓,台南市安定區六嘉村三二之一號,NONE,NONE,,
53657384,台南市第三三五分公司,安定區,臺南市安定區港口245-10號1樓,台南市安定區港口245號,NONE,NONE,,
91080116,台南市第三八四分公司,安定區,臺南市安定區嘉同里六塊寮10-13、10-15號1樓,台南市安定區嘉同里六塊寮10-13、10號,NONE,NONE,,
51684625,台南市第二八四分公司,安定區,臺南市安定區安加里安定407號1樓,台南市安定區安加里安定407號,NONE,NONE,,
89128938,台南市第四三五分公司,安定區,臺南市安定區中榮里許中營78-10號1樓,台南市安定區中榮里許中營78號,NONE,NONE,,
60756510,台南市第四九二分公司,安定區,臺南市安定區港南里港口55-1號1樓,台南市安定區港南里港口55號,NONE,NONE,,
00051881,台南市第四八一分公司,安定區,臺南市安定區港尾里港子尾38-3號1樓,台南市安定區港尾里港子尾38號,NONE,NONE,,
94160676,台南市第四六０分公司,安定區,臺南市安定區蘇厝里蘇厝289-11號1樓,台南市安定區蘇厝里蘇厝289號,NONE,NONE,,
16745982,台南縣第８２分公司,安定區,臺南市安定區港南村港口一六三號,台南市安定區港南村港口一六三號,NONE,NONE,,
16749713,台南縣第８４分公司,安定區,臺南市安定區海寮村海寮段八號,台南市安定區海寮村海寮段八號,NONE,NONE,,
28437026,台南縣第二二九分公司,安定區,臺南市安定區新吉村新吉126-12、126-13號1樓,台南市安定區新吉村新吉126-12、126號,NONE,NONE,,
28434338,台南縣第二二六分公司,安定區,臺南市安定區蘇林村7號1樓,台南市安定區蘇林村7號,NONE,NONE,,
53002528,安定保安分公司,安定區,臺南市安定區保西村339之1號、339之3號1樓,台南市安定區保西村339之1號,NONE,NONE,,
28430488,安定善高分公司,安定區,臺南市安定區蘇厝村蘇厝293之68號,台南市安定區蘇厝村蘇厝293之68號,NONE,NONE,,
91045765,安定安加分公司,安定區,臺南市安定區安加里安定262之22號、262之23號,台南市安定區安加里安定262之22號,NONE,NONE,,
53004434,安定海寮分公司,安定區,臺南市安定區海寮10-2號、10-3號1樓,台南市安定區海寮10號,NONE,NONE,,
94178752,第五O二七分公司,安定區,臺南市安定區海寮32-1號,台南市安定區海寮32號,NONE,NONE,,
94010255,第五一一五分公司,安定區,臺南市安定區大同89號1樓,台南市安定區大同89號,NONE,NONE,,
27943215,台南國平分公司,安平區,臺南市安平區平通里國平路599之1號,台南市安平區平通里國平路599之1號,NONE,NONE,,
27231840,台南市第一五０分公司,安平區,臺南市安平區海興里十四鄰安北路一七０之三號一樓,台南市安平區海興里十四鄰安北路一七0之三號,NONE,NONE,,
24796730,第四二四O分公司,安平區,臺南市安平區國平里健康三街188之1號1樓,台南市安平區國平里健康三街188之1號,NONE,NONE,,
27257735,台南縣第一六九分公司,官田區,臺南市官田區湖山村98之5號1樓,台南市官田區湖山村98之5號,NONE,NONE,,
