district,project_name,building_lands
永康區,創築,鹽埕段302地號
永康區,勝美A Park,平道段154地號
永康區,家家富富2,永康段1139-5地號
永康區,富躍居5,東邊寮段639地號
永康區,木津川,平道段285地號
永康區,誠真映月,三村段785地號
白河區,冠辰：喜得三期,竹子門段1308地號
白河區,愛上白河3,河東段230地號
西港區,5福霖門3期--傳澄,新樂段506地號
西港區,5福霖門5期--三宅滬,成功段756-2地號
西港區,5福霖門6期—旭潗,新樂段637地號
西港區,双贏,營段28地號
西港區,堡湖天下 7,西港堡段215地號
西港區,夏木漱石NO.10,營段507地號
西港區,富裕人生19,西埔段374-27地號
西港區,我的家27,後營段141地號
西港區,晨夏2,双營段1109-0003地號
西港區,為有巢西港西埔,西埔段179地號
西港區,舜暉御品9大營家2,西港區後營27-8號
西港區,誠銳美居,檨林段729地號
西港區,金艷富邸9,成功段905地號
西港區,開喜苑,港南段777地號
鹽水區,仙盈捷座,岸南段933-8地號
鹽水區,月津帝居,歡雅段221地號
麻豆區,仁喬知見,大埕段140地號
麻豆區,傳家堡8,安東段0275-0017地號
麻豆區,吉億．擁恆3,龍泉段449-39地號
麻豆區,吉億．擁恆5,龍泉段757-2地號
麻豆區,常鼎家圓3,清水段411地號
麻豆區,春日朗,大山段218地號
麻豆區,春日朗2,大山段100-4地號
麻豆區,滿築,真理段1200-0000地號
麻豆區,綠品苑,巷口段900-1地號
麻豆區,綠品苑2,巷口段897-15地號
麻豆區,臺邦優悅,謝厝寮段1137地號
麻豆區,陳新建設-深白序曲,安西段1090地號
