鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
安南區,房地(土地+建物)+車位,臺南市安南區海佃路一段１５８巷２０３號七樓之２,48.7,住,,,1110530,土地1建物1車位2,七層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140819,292.0,3,2,2,有,有,26258300,100879,坡道平面,59.46,2800000,114/8/18簽工程變更款增加新臺幣8300元整。113/7/1簽預售屋權利買賣移轉契約書，交易總價不變。共買兩個車位，車位合併計價新臺幣280萬元整。預售屋、或土地及建物分件登記案件；,RPVNMLTKJHLGFBD58DA,126.74,0.0,20.32,有,
安南區,房地(土地+建物)+車位,臺南市安南區宜居三路２９０號五樓之６,18.58,住,,,1110115,土地2建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140912,158.85,3,2,2,有,有,12490000,81447,坡道平面,21.46,1300000,預售屋、或土地及建物分件登記案件；,RPVOMLTKJHLGFBD78EA,81.2,0.0,9.77,有,
永康區,房地(土地+建物)+車位,臺南市永康區仁愛街５３巷１９號五樓之７,11.49,商,,,1110118,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140409,119.99000000000001,2,2,1,有,有,8370000,81431,坡道平面,31.94,1200000,原權利人114.6.3變更第三人買賣價格:新台幣捌佰陸拾柒萬元整預售屋、或土地及建物分件登記案件；,RPPNMLPLJHLGFKD58DA,50.29,0.0,8.21,有,
永康區,房地(土地+建物)+車位,臺南市永康區仁愛街５３巷１９號十一樓之５,14.18,商,,,1110123,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140409,140.62,3,2,2,有,有,10900000,87413,坡道平面,31.94,1400000,預售屋、或土地及建物分件登記案件；,RPSNMLPLJHLGFKD88DA,66.91,0.0,5.28,有,
安南區,房地(土地+建物)+車位,臺南市安南區宜居三路２９０號十樓之７,18.38,住,,,1110108,土地2建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140912,158.45999999999998,3,2,2,有,有,13500000,89476,坡道平面,22.67,1350000,預售屋、或土地及建物分件登記案件；,RPQNMLQLJHLGFBD97EA,82.6,0.0,7.25,有,
安南區,房地(土地+建物)+車位,臺南市安南區宜居三路２９０號二樓之５,18.55,住,,,1101218,土地2建物1車位1,二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140912,158.78,3,2,2,有,有,12670000,80251,坡道平面,21.46,1650000,預售屋、或土地及建物分件登記案件；,RPQOMLTKJHLGFBD28EA,81.2,0.0,9.7,有,
安南區,房地(土地+建物)+車位,臺南市安南區宜居三路２９０號八樓之６,18.58,住,,,1101225,土地2建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140912,158.85,3,2,2,有,有,13000000,84795,坡道平面,21.46,1350000,預售屋、或土地及建物分件登記案件；,RPWOMLTKJHLGFBD88EA,81.2,0.0,9.77,有,
安南區,房地(土地+建物)+車位,臺南市安南區宜居三路２８８號十五樓之２,18.55,住,,,1101029,土地2建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140912,158.78,3,2,2,有,有,14330000,94160,坡道平面,21.46,1400000,預售屋、或土地及建物分件登記案件；,RPOOMLTKJHLGFBD08EA,81.2,0.0,9.7,有,
安南區,房地(土地+建物)+車位,臺南市安南區宜居三路２９０號五樓之３,16.26,住,,,1101017,土地2建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140912,141.68,3,2,2,有,有,11370000,83597,坡道平面,21.46,1320000,預售屋、或土地及建物分件登記案件；,RPTOMLTKJHLGFBD58EA,73.2,0.0,6.42,有,
安南區,房地(土地+建物)+車位,臺南市安南區宜居三路２８８號六樓之２,18.55,住,,,1101003,土地2建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140912,158.78,3,2,2,有,有,12120000,78430,坡道平面,21.46,1350000,預售屋、或土地及建物分件登記案件；,RPVNMLTKJHLGFBD68EA,81.2,0.0,9.7,有,
安南區,房地(土地+建物)+車位,臺南市安南區宜居三路２８８號六樓之３,16.26,住,,,1101029,土地2建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140912,141.68,3,2,2,有,有,11660000,84096,坡道平面,21.46,1550000,預售屋、或土地及建物分件登記案件；,RPWNMLTKJHLGFBD78EA,73.2,0.0,6.42,有,
安平區,房地(土地+建物)+車位,臺南市安平區民權路四段１１１號五樓之３,20.67,住,,,1101024,土地1建物1車位1,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1141027,126.07,2,2,1,有,有,11571407,107691,坡道平面,34.87,1750000,合約價格：11640000元，減面積找補68593元，實際交易總價：11571407元預售屋、或土地及建物分件登記案件；,RPQOMLKLJHLGFAD27DA,54.45,0.0,4.57,有,
安平區,房地(土地+建物)+車位,臺南市安平區郡平路３２號四樓之２,36.5,商,,,1101004,土地1建物1車位2,四層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140930,308.72,3,2,3,有,有,28740000,98384,坡道平面,45.06,2800000,預售屋、或土地及建物分件登記案件；,RPUNMLQJKIKGFAD08DA,163.12,0.0,16.51,有,
安平區,房地(土地+建物)+車位,臺南市安平區國平北路８６號十樓之３,9.02,商,,,1101030,土地1建物1車位1,十層,二十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140722,114.34,0,0,0,無,有,9667458,93672,坡道機械,17.54,600000,工程變更追加金額17458元整預售屋、或土地及建物分件登記案件；,RPVOMLNLJHLGFAD08DA,53.93,0.0,6.74,有,
安平區,房地(土地+建物)+車位,臺南市安平區國平北路８６號二十一樓之５,9.02,商,,,1101014,土地1建物1車位1,二十一層,二十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140722,108.34,0,0,0,無,有,9400000,93879,坡道機械,14.07,550000,預售屋、或土地及建物分件登記案件；,RPWOMLNLJHLGFAD18DA,51.61,0.0,7.4,有,
安南區,房地(土地+建物)+車位,臺南市安南區宜居三路２９０號三樓之３,16.26,住,,,1100918,土地2建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140912,141.68,3,2,2,有,有,10610000,73698,坡道平面,21.46,1750000,原沒買車位後來買1個車位價款175萬故交易總價有變動預售屋、或土地及建物分件登記案件；,RPRNMLTKJHLGFBD28EA,73.2,0.0,6.42,有,
