Seq,區碼,區名,地段碼,地段名,地號,經度,緯度
126,D35,龍崎區,7036,番社段,350-4,120.3957246772,22.9292837726
127,D35,龍崎區,7036,番社段,396-1,120.3908886130,22.9262937782
128,D35,龍崎區,7036,番社段,397,120.3906831676,22.9265409251
129,D35,龍崎區,7036,番社段,397-1,120.3906356054,22.9266534998
130,D35,龍崎區,7036,番社段,397-2,120.3907318884,22.9266239883
131,D35,龍崎區,7036,番社段,397-3,120.3906776428,22.9266070235
132,D35,龍崎區,7036,番社段,398,120.3906014289,22.9269073062
133,D35,龍崎區,7036,番社段,417,120.3884035888,22.9294169468
134,D35,龍崎區,7036,番社段,419-1,120.3874854041,22.9293401011
135,D35,龍崎區,7036,番社段,420,120.3878834520,22.9298226410
136,D35,龍崎區,7036,番社段,420-1,120.3875324077,22.9300892866
137,D35,龍崎區,7036,番社段,423,120.3886213926,22.9295217100
138,D35,龍崎區,7036,番社段,424,120.3889721527,22.9293814916
139,D35,龍崎區,7036,番社段,424-1,120.3893637960,22.9298991985
140,D35,龍崎區,7036,番社段,429,120.3910455414,22.9278094173
141,D35,龍崎區,7036,番社段,429-1,120.3910596947,22.9279326681
142,D35,龍崎區,7036,番社段,430,120.3904483602,22.9284302082
143,D35,龍崎區,7036,番社段,431,120.3905772738,22.9285501299
144,D35,龍崎區,7036,番社段,432,120.3906170756,22.9290652463
145,D35,龍崎區,7036,番社段,432-1,120.3904682628,22.9293024290
146,D35,龍崎區,7036,番社段,435,120.3904127151,22.9296457877
147,D35,龍崎區,7036,番社段,436,120.3907350147,22.9297054288
148,D35,龍崎區,7036,番社段,437,120.3907516021,22.9300560304
149,D35,龍崎區,7036,番社段,437-2,120.3900436281,22.9299527881
150,D35,龍崎區,7036,番社段,437-4,120.3906833891,22.9303223243
151,D35,龍崎區,7036,番社段,437-5,120.3902046090,22.9304075764
152,D35,龍崎區,7036,番社段,438,120.3905992049,22.9306954314
153,D35,龍崎區,7036,番社段,438-2,120.3909121825,22.9306036584
154,D35,龍崎區,7036,番社段,438-4,120.3905546401,22.9312209319
155,D35,龍崎區,7036,番社段,439,120.3908374545,22.9322304836
156,D35,龍崎區,7036,番社段,444,120.3914793842,22.9296383732
157,D35,龍崎區,7036,番社段,444-5,120.3912010674,22.9295964854
158,D35,龍崎區,7036,番社段,444-6,120.3913816745,22.9295920326
159,D35,龍崎區,7036,番社段,444-8,120.3916408653,22.9298171474
160,D35,龍崎區,7036,番社段,447,120.3922254413,22.9296851093
161,D35,龍崎區,7036,番社段,447-1,120.3924541354,22.9297107837
162,D35,龍崎區,7036,番社段,447-2,120.3924874019,22.9295065773
163,D35,龍崎區,7036,番社段,448-5,120.3918100663,22.9296507250
164,D35,龍崎區,7036,番社段,448-6,120.3918991602,22.9296355376
165,D35,龍崎區,7036,番社段,448-8,120.3920200211,22.9297429625
166,D35,龍崎區,7036,番社段,451-1,120.3930726890,22.9292411546
167,D35,龍崎區,7036,番社段,452,120.3934434403,22.9298385356
168,D35,龍崎區,7036,番社段,452-1,120.3934541410,22.9299361539
169,D35,龍崎區,7036,番社段,453-6,120.3943687355,22.9301118285
170,D35,龍崎區,7036,番社段,481-1,120.3971607953,22.9363834200
171,D35,龍崎區,7036,番社段,481-3,120.3966758780,22.9363226917
172,D35,龍崎區,7036,番社段,481-5,120.3969830074,22.9362574879
173,D35,龍崎區,7036,番社段,481-8,120.3974459829,22.9362037824
174,D35,龍崎區,7036,番社段,482-2,120.3978418702,22.9362298014
175,D35,龍崎區,7036,番社段,482-8,120.3980469061,22.9364779785
176,D35,龍崎區,7036,番社段,482-14,120.3977519992,22.9364031144
177,D35,龍崎區,7036,番社段,482-15,120.3978597254,22.9362830426
178,D35,龍崎區,7036,番社段,483,120.3946692583,22.9362596295
179,D35,龍崎區,7036,番社段,483-1,120.3944940078,22.9363515579
180,D35,龍崎區,7036,番社段,483-2,120.3938454178,22.9374416743
181,D35,龍崎區,7036,番社段,483-3,120.3938026655,22.9373400419
182,D35,龍崎區,7036,番社段,508-2,120.3993839088,22.9379983729
183,D35,龍崎區,7036,番社段,508-3,120.3994757327,22.9381872211
184,D35,龍崎區,7036,番社段,533,120.3864529789,22.9496560578
185,D35,龍崎區,7036,番社段,546,120.3892349766,22.9427646381
186,D35,龍崎區,7036,番社段,548,120.3901584097,22.9428385586
187,D35,龍崎區,7036,番社段,550,120.3902178852,22.9411496659
188,D35,龍崎區,7036,番社段,571,120.3905677746,22.9377295091
189,D35,龍崎區,7036,番社段,579-3,120.3868349911,22.9361218603
190,D35,龍崎區,7036,番社段,584-1,120.3838054806,22.9428503709
191,D35,龍崎區,7036,番社段,584-7,120.3833899160,22.9433991571
192,D35,龍崎區,7036,番社段,584-8,120.3840071841,22.9426116081
193,D35,龍崎區,7036,番社段,584-9,120.3854733982,22.9426259598
194,D35,龍崎區,7036,番社段,584-10,120.3844301384,22.9432768321
195,D35,龍崎區,7036,番社段,587,120.3834547489,22.9430120566
196,D35,龍崎區,7036,番社段,587-1,120.3832459316,22.9427492493
197,D35,龍崎區,7036,番社段,588,120.3827633741,22.9433875044
198,D35,龍崎區,7036,番社段,588-1,120.3825257503,22.9427131262
199,D35,龍崎區,7036,番社段,597,120.3829817151,22.9369529266
200,D35,龍崎區,7036,番社段,599,120.3824746858,22.9363098784
201,D35,龍崎區,7036,番社段,600,120.3813428773,22.9364834735
202,D35,龍崎區,7036,番社段,600-2,120.3816102007,22.9371203309
203,D35,龍崎區,7036,番社段,610,120.3816223901,22.9342316054
204,D35,龍崎區,7036,番社段,614,120.3819955025,22.9334762977
205,D35,龍崎區,7036,番社段,615,120.3818920089,22.9331062637
206,D35,龍崎區,7036,番社段,618,120.3817901167,22.9325966274
207,D35,龍崎區,7036,番社段,619,120.3816766513,22.9320870606
208,D35,龍崎區,7036,番社段,619-1,120.3816720897,22.9316161030
209,D35,龍崎區,7036,番社段,622-2,120.3802400670,22.9280359529
210,D35,龍崎區,7036,番社段,622-5,120.3804511275,22.9300900157
211,D35,龍崎區,7036,番社段,624,120.3799470483,22.9297053851
212,D35,龍崎區,7036,番社段,626-7,120.3723856612,22.9238288402
213,D35,龍崎區,7036,番社段,626-10,120.3742105951,22.9252513128
214,D35,龍崎區,7036,番社段,626-12,120.3735028783,22.9232023432
215,D35,龍崎區,7036,番社段,635,120.3748189111,22.9232754644
216,D35,龍崎區,7036,番社段,636,120.3758612661,22.9233231672
217,D35,龍崎區,7036,番社段,638,120.3760794259,22.9230550622
218,D35,龍崎區,7036,番社段,647-1,120.3784643269,22.9235856726
219,D35,龍崎區,7036,番社段,647-7,120.3777408926,22.9235101125
220,D35,龍崎區,7036,番社段,655-4,120.3810950485,22.9264630684
221,D35,龍崎區,7036,番社段,659-2,120.3823418396,22.9256545684
222,D35,龍崎區,7036,番社段,659-3,120.3821534863,22.9243531985
223,D35,龍崎區,7036,番社段,661,120.3817672590,22.9245375944
224,D35,龍崎區,7036,番社段,669-2,120.3825212711,22.9266868768
225,D35,龍崎區,7036,番社段,677-4,120.3870421093,22.9305036494
226,D35,龍崎區,7036,番社段,679,120.3849557648,22.9298783622
227,D35,龍崎區,7036,番社段,679-1,120.3849338721,22.9301920540
228,D35,龍崎區,7036,番社段,679-4,120.3851407542,22.9296075895
229,D35,龍崎區,7036,番社段,679-5,120.3852654457,22.9294691293
230,D35,龍崎區,7036,番社段,687-3,120.3871002366,22.9235206629
231,D35,龍崎區,7036,番社段,689,120.3860796853,22.9235556309
232,D35,龍崎區,7036,番社段,689-2,120.3883910716,22.9228881434
233,D35,龍崎區,7036,番社段,689-5,120.3859188548,22.9231446350
234,D35,龍崎區,7036,番社段,689-7,120.3853948937,22.9231910021
235,D35,龍崎區,7036,番社段,691-4,120.3860788954,22.9234448463
236,D35,龍崎區,7036,番社段,691-6,120.3850599809,22.9227526430
237,D35,龍崎區,7036,番社段,695-1,120.3843225547,22.9240542483
238,D35,龍崎區,7036,番社段,699,120.3821650677,22.9228988587
239,D35,龍崎區,7036,番社段,699-1,120.3834377677,22.9228021500
240,D35,龍崎區,7036,番社段,699-8,120.3828964951,22.9224111842
241,D35,龍崎區,7036,番社段,702-1,120.3830925960,22.9216746106
242,D35,龍崎區,7036,番社段,704-3,120.3833904887,22.9206347406
