Seq,區碼,區名,地段碼,地段名,地號,經度,緯度
251,D31,左鎮區,6754,左鎮段,628-5,120.4094660754,23.0545662239
252,D31,左鎮區,6754,左鎮段,630-1,120.4090181120,23.0539215430
253,D31,左鎮區,6754,左鎮段,630-2,120.4091815347,23.0547469620
254,D31,左鎮區,6754,左鎮段,630-8,120.4092590140,23.0543611066
255,D31,左鎮區,6754,左鎮段,630-9,120.4091704595,23.0542237006
256,D31,左鎮區,6754,左鎮段,672-2,120.4085476382,23.0508344397
257,D31,左鎮區,6754,左鎮段,673-1,120.4084932157,23.0505660127
258,D31,左鎮區,6754,左鎮段,673-2,120.4081537457,23.0506262499
259,D31,左鎮區,6754,左鎮段,674-1,120.4079157977,23.0502329086
260,D31,左鎮區,6754,左鎮段,674-5,120.4083015962,23.0502449593
261,D31,左鎮區,6754,左鎮段,675,120.4083231499,23.0500616454
262,D31,左鎮區,6754,左鎮段,675-3,120.4082893162,23.0498556001
263,D31,左鎮區,6754,左鎮段,676,120.4084285995,23.0494210123
264,D31,左鎮區,6754,左鎮段,676-1,120.4082294266,23.0491253146
265,D31,左鎮區,6754,左鎮段,686,120.4079346355,23.0486505211
266,D31,左鎮區,6754,左鎮段,688,120.4079826371,23.0483221606
267,D31,左鎮區,6754,左鎮段,690,120.4084366555,23.0489407921
268,D31,左鎮區,6754,左鎮段,692,120.4098888061,23.0479314027
269,D31,左鎮區,6754,左鎮段,693,120.4093187907,23.0479165131
270,D31,左鎮區,6754,左鎮段,694,120.4087676633,23.0479460057
271,D31,左鎮區,6754,左鎮段,695,120.4082002023,23.0481161213
272,D31,左鎮區,6754,左鎮段,695-1,120.4084099226,23.0477669941
273,D31,左鎮區,6754,左鎮段,696,120.4078006526,23.0479307336
274,D31,左鎮區,6754,左鎮段,696-1,120.4075086270,23.0479583687
275,D31,左鎮區,6754,左鎮段,696-4,120.4074209315,23.0479634586
276,D31,左鎮區,6754,左鎮段,697-2,120.4073473816,23.0479573838
277,D31,左鎮區,6754,左鎮段,697-3,120.4071932682,23.0478938741
278,D31,左鎮區,6754,左鎮段,697-10,120.4073633561,23.0478893841
279,D31,左鎮區,6754,左鎮段,698-4,120.4080772016,23.0461101705
280,D31,左鎮區,6754,左鎮段,698-5,120.4081424951,23.0460148916
281,D31,左鎮區,6754,左鎮段,698-6,120.4083125502,23.0459261534
282,D31,左鎮區,6754,左鎮段,706-4,120.4076043081,23.0452376092
283,D31,左鎮區,6754,左鎮段,708,120.4079775963,23.0455331029
284,D31,左鎮區,6754,左鎮段,709,120.4082017043,23.0455519788
285,D31,左鎮區,6754,左鎮段,709-1,120.4082434309,23.0451296862
286,D31,左鎮區,6754,左鎮段,710,120.4083918394,23.0449794132
287,D31,左鎮區,6754,左鎮段,711,120.4084916710,23.0449192512
288,D31,左鎮區,6754,左鎮段,711-1,120.4081061852,23.0446947200
289,D31,左鎮區,6754,左鎮段,747,120.4083745364,23.0464180969
290,D31,左鎮區,6754,左鎮段,747-8,120.4082859372,23.0463540604
291,D31,左鎮區,6754,左鎮段,747-22,120.4080668750,23.0465451194
292,D31,左鎮區,6754,左鎮段,747-27,120.4082564757,23.0466728755
293,D31,左鎮區,6754,左鎮段,747-28,120.4081748620,23.0468437240
294,D31,左鎮區,6754,左鎮段,747-29,120.4081037673,23.0470772899
295,D31,左鎮區,6754,左鎮段,747-30,120.4081058377,23.0472050269
296,D31,左鎮區,6754,左鎮段,747-32,120.4083585483,23.0472391829
297,D31,左鎮區,6754,左鎮段,747-39,120.4081620118,23.0468019119
298,D31,左鎮區,6754,左鎮段,750,120.4080888747,23.0473605022
299,D31,左鎮區,6754,左鎮段,774-2,120.4102232986,23.0477445719
300,D31,左鎮區,6754,左鎮段,799-2,120.4089162113,23.0422144951
301,D31,左鎮區,6754,左鎮段,800-1,120.4081106083,23.0431591363
302,D31,左鎮區,6754,左鎮段,802-2,120.4097676731,23.0417155330
303,D31,左鎮區,6754,左鎮段,815,120.4137825698,23.0414258815
304,D31,左鎮區,6754,左鎮段,815-1,120.4139224108,23.0412365722
305,D31,左鎮區,6754,左鎮段,816,120.4134462007,23.0413618145
306,D31,左鎮區,6754,左鎮段,817-3,120.4131843851,23.0413106315
307,D31,左鎮區,6754,左鎮段,817-7,120.4127737259,23.0414677129
308,D31,左鎮區,6754,左鎮段,828-1,120.4126773865,23.0412221468
309,D31,左鎮區,6754,左鎮段,828-2,120.4123805827,23.0411988629
310,D31,左鎮區,6754,左鎮段,828-3,120.4120214180,23.0411542843
311,D31,左鎮區,6754,左鎮段,830-1,120.4117924726,23.0417883968
312,D31,左鎮區,6754,左鎮段,833,120.4111121838,23.0411049142
313,D31,左鎮區,6754,左鎮段,833-1,120.4115013265,23.0413535210
314,D31,左鎮區,6754,左鎮段,834,120.4108096357,23.0413737422
315,D31,左鎮區,6754,左鎮段,836,120.4103688518,23.0413055772
316,D31,左鎮區,6754,左鎮段,848-8,120.4082090513,23.0399624975
317,D31,左鎮區,6754,左鎮段,848-16,120.4101493435,23.0414358222
318,D31,左鎮區,6754,左鎮段,862,120.4083832764,23.0378095906
319,D31,左鎮區,6754,左鎮段,866,120.4081323145,23.0381352030
320,D31,左鎮區,6754,左鎮段,867,120.4083094996,23.0385810824
321,D31,左鎮區,6754,左鎮段,868-1,120.4074804071,23.0383183904
322,D31,左鎮區,6754,左鎮段,871-2,120.4083633634,23.0380872458
323,D31,左鎮區,6754,左鎮段,874-1,120.4081568126,23.0374058956
324,D31,左鎮區,6754,左鎮段,898,120.4062577620,23.0349678033
325,D31,左鎮區,6754,左鎮段,898-1,120.4058422398,23.0348478089
326,D31,左鎮區,6754,左鎮段,947-1,120.4065735826,23.0423689656
327,D31,左鎮區,6754,左鎮段,952-2,120.4042069504,23.0414646724
328,D31,左鎮區,6754,左鎮段,1014-2,120.4045716762,23.0476775295
329,D31,左鎮區,6754,左鎮段,1025,120.4039706510,23.0481518663
330,D31,左鎮區,6754,左鎮段,1026,120.4046821041,23.0480202838
331,D31,左鎮區,6754,左鎮段,1027,120.4047912189,23.0481426773
332,D31,左鎮區,6754,左鎮段,1040-1,120.4028877597,23.0483640072
333,D31,左鎮區,6754,左鎮段,1041-2,120.4033242110,23.0480247057
334,D31,左鎮區,6754,左鎮段,1043-1,120.4084544088,23.0744350510
335,D31,左鎮區,6754,左鎮段,1047,120.4084237603,23.0388946512
336,D31,左鎮區,6754,左鎮段,1047-1,120.4079027080,23.0388375794
337,D31,左鎮區,6754,左���段,1090,120.4084637777,23.0775187583
338,D31,左鎮區,6754,左鎮段,1090-1,120.4079300936,23.0766864353
339,D31,左鎮區,6754,左鎮段,1092,120.4079618117,23.0758119568
340,D31,左鎮區,6754,左鎮段,1096,120.4108054011,23.0739958119
341,D31,左鎮區,6754,左鎮段,1105-2,120.4075772715,23.0741982808
342,D31,左鎮區,6754,左鎮段,1109,120.4065186259,23.0744262421
343,D31,左鎮區,6754,左鎮段,1110-13,120.4058591296,23.0751241075
344,D31,左鎮區,6754,左鎮段,1110-14,120.4057297487,23.0743844841
345,D31,左鎮區,6754,左鎮段,1110-15,120.4059016431,23.0741528393
346,D31,左鎮區,6754,左鎮段,1113,120.4051412965,23.0740936321
347,D31,左鎮區,6754,左鎮段,1116-2,120.4045039207,23.0743325128
348,D31,左鎮區,6754,左鎮段,1118,120.4037485656,23.0744098002
349,D31,左鎮區,6754,左鎮段,1119,120.4038599354,23.0742390029
350,D31,左鎮區,6754,左鎮段,1122,120.4049567367,23.0741745872
351,D31,左鎮區,6754,左鎮段,1137,120.4066921964,23.0740750352
352,D31,左鎮區,6754,左鎮段,1167,120.4033428489,23.0739882397
353,D31,左鎮區,6754,左鎮段,1168,120.4032161849,23.0742948022
354,D31,左鎮區,6754,左鎮段,1171,120.4029260033,23.0744756932
355,D31,左鎮區,6754,左鎮段,1175,120.4021567160,23.0742216182
356,D31,左鎮區,6754,左鎮段,1175-1,120.4024930370,23.0740026564
357,D31,左鎮區,6754,左鎮段,1183,120.4015892579,23.0743411069
358,D31,左鎮區,6754,左鎮段,1184,120.4012859158,23.0743562981
359,D31,左鎮區,6754,左鎮段,1195,120.4008544456,23.0739782178
360,D31,左鎮區,6754,左鎮段,1228,120.4067342058,23.0480494369
361,D31,左鎮區,6754,左鎮段,1234,120.4080843566,23.0513844808
362,D31,左鎮區,6754,左鎮段,1234-2,120.4080308837,23.0512585618
363,D31,左鎮區,6754,左鎮段,1247,120.4104202322,23.0480942668
364,D31,左鎮區,6754,左鎮段,1272,120.4082372213,23.0372022798
365,D31,左鎮區,6754,左鎮段,1273,120.4080229449,23.0368961817
366,D31,左鎮區,6754,左鎮段,1277,120.4065955221,23.0350697227
367,D31,左鎮區,6754,左鎮段,1280,120.4043683325,23.0346889392
368,D31,左鎮區,6754,左鎮段,1280-1,120.4044129463,23.0348295229
369,D31,左鎮區,6754,左鎮段,1280-2,120.4029595697,23.0346486215
370,D31,左鎮區,6754,左鎮段,1308,120.4086304820,23.0389724720
