Seq,區碼,區名,地段碼,地段名,地號,經度,緯度
46685,D34,關廟區,7137,埤頭段,501,120.3020652653,22.9991697492
46686,D34,關廟區,7137,埤頭段,2507,120.3203850248,22.9935584920
46687,D34,關廟區,7137,埤頭段,2349,120.3138887383,23.0120516740
46688,D34,關廟區,7137,埤頭段,2027,120.3144505899,23.0046125986
46689,D34,關廟區,7137,埤頭段,786,120.2984120162,23.0089367814
46690,D34,關廟區,7137,埤頭段,1776,120.3125747750,23.0014916909
46691,D34,關廟區,7137,埤頭段,1342,120.3097555770,22.9949579871
46692,D34,關廟區,7137,埤頭段,982,120.3048709366,23.0079867975
46693,D34,關廟區,7137,埤頭段,784,120.2985530629,23.0093637128
46694,D34,關廟區,7137,埤頭段,1720,120.3146713758,22.9999339646
46695,D34,關廟區,7137,埤頭段,172,120.3035732749,22.9939655953
46696,D34,關廟區,7137,埤頭段,546,120.3006535264,23.0015995138
46697,D34,關廟區,7137,埤頭段,1095,120.3088112153,23.0096864098
46698,D34,關廟區,7137,埤頭段,2481,120.3188617841,23.0097554176
46699,D34,關廟區,7137,埤頭段,1303,120.3083011778,22.9963504485
46700,D34,關廟區,7137,埤頭段,1027,120.3083845530,23.0033595917
46701,D34,關廟區,7137,埤頭段,375,120.3016741839,22.9973468474
46702,D34,關廟區,7137,埤頭段,2555,120.3273991017,22.9875936756
46703,D34,關廟區,7137,埤頭段,1075,120.3073496865,23.0079663334
46704,D34,關廟區,7137,埤頭段,1293,120.3082130383,22.9969281666
46705,D34,關廟區,7137,埤頭段,1868,120.3092418272,23.0053836157
46706,D34,關廟區,7137,埤頭段,991,120.3062895653,23.0083698959
46707,D34,關廟區,7137,埤頭段,547,120.3010385506,23.0008964017
46708,D34,關廟區,7137,埤頭段,568,120.3020735393,23.0007210666
46709,D34,關廟區,7137,埤頭段,1838,120.3101763711,23.0052207834
46710,D34,關廟區,7137,埤頭段,2286,120.3161233743,23.0071331163
46711,D34,關廟區,7137,埤頭段,945,120.3044135904,23.0104202394
46712,D34,關廟區,7137,埤頭段,2781,120.3269847306,22.9998697887
46713,D34,關廟區,7137,埤頭段,2464,120.3178822853,23.0098588962
46714,D34,關廟區,7137,埤頭段,2320,120.3114739579,23.0120583965
46715,D34,關廟區,7137,埤頭段,232,120.3029340768,22.9962506959
46716,D34,關廟區,7137,埤頭段,996,120.3058165048,23.0106080018
46717,D34,關廟區,7137,埤頭段,2617,120.3283683784,22.9990253464
46718,D34,關廟區,7137,埤頭段,2376,120.3140239905,23.0089464435
46719,D34,關廟區,7137,埤頭段,2750,120.3288349849,23.0045377545
46720,D34,關廟區,7137,埤頭段,275,120.3005057636,22.9961546298
46721,D34,關廟區,7137,埤頭段,805,120.2987529702,23.0075373123
46722,D34,關廟區,7137,埤頭段,1725,120.3168133577,23.0005550768
46723,D34,關廟區,7137,埤頭段,2054,120.3123913142,23.0063397168
46724,D34,關廟區,7137,埤頭段,2630,120.3273472659,22.9969854582
46725,D34,關廟區,7137,埤頭段,263,120.3011795105,22.9961675718
46726,D34,關廟區,7137,埤頭段,1648,120.3184006227,22.9932107727
46727,D34,關廟區,7137,埤頭段,309,120.3011628185,22.9969724705
46728,D34,關廟區,7137,埤頭段,929,120.3036629847,23.0086689541
46729,D34,關廟區,7137,埤頭段,84,120.3013298476,22.9936976706
46730,D34,關廟區,7137,埤頭段,840,120.2996218634,23.0087303706
46731,D34,關廟區,7137,埤頭段,1636,120.3169069780,22.9934431113
46732,D34,關廟區,7137,埤頭段,298,120.2996715984,22.9989112644
46733,D34,關廟區,7137,埤頭段,1951,120.3176270441,23.0039004842
46734,D34,關廟區,7137,埤頭段,815,120.2976471602,23.0068045713
46735,D34,關廟區,7137,埤頭段,854,120.3013002171,23.0092489830
46736,D34,關廟區,7137,埤頭段,1117,120.3082501336,23.0105058898
46737,D34,關廟區,7137,埤頭段,2343,120.3128169058,23.0123369678
46738,D34,關廟區,7137,埤頭段,1923,120.3156557616,23.0030827904
46739,D34,關廟區,7137,埤頭段,1236,120.3086741686,23.0039101454
46740,D34,關廟區,7137,埤頭段,2042,120.3118554815,23.0051550713
46741,D34,關廟區,7137,埤頭段,454,120.3032581555,22.9983594733
46742,D34,關廟區,7137,埤頭段,29,120.2997079846,22.9935356638
46743,D34,關廟區,7137,埤頭段,290,120.3005569038,22.9967312051
46744,D34,關廟區,7137,埤頭段,2768,120.3274272320,23.0014735143
46745,D34,關廟區,7137,埤頭段,2703,120.3297331463,23.0018866050
46746,D34,關廟區,7137,埤頭段,483,120.3046915145,22.9984362579
46747,D34,關廟區,7137,埤頭段,2717,120.3321438019,23.0023285919
46748,D34,關廟區,7137,埤頭段,2499,120.3199561053,22.9962545070
46749,D34,關廟區,7137,埤頭段,2808,120.3298053009,23.0051624594
46750,D34,關廟區,7137,埤頭段,2723,120.3308446829,23.0036108871
46751,D34,關廟區,7137,埤頭段,2488,120.3190818761,23.0104831792
46752,D34,關廟區,7137,埤頭段,492,120.3038888357,22.9988199574
46753,D34,關廟區,7137,埤頭段,663,120.3018794740,23.0031397641
46754,D34,關廟區,7137,埤頭段,317,120.3020368001,22.9967222195
46755,D34,關廟區,7137,埤頭段,804,120.2991100349,23.0075393265
46756,D34,關廟區,7137,埤頭段,291,120.3008497773,22.9969279195
46757,D34,關廟區,7137,埤頭段,2412,120.3157423659,23.0091003206
46758,D34,關廟區,7137,埤頭段,1708,120.3169409078,22.9997499265
46759,D34,關廟區,7137,埤頭段,2439,120.3164882743,23.0099432440
46760,D34,關廟區,7137,埤頭段,2087,120.3110095747,23.0073947564
46761,D34,關廟區,7137,埤頭段,858,120.3021446794,23.0100324004
46762,D34,關廟區,7137,埤頭段,2689,120.3305702506,23.0010167052
46763,D34,關廟區,7137,埤頭段,472,120.3044398950,22.9972280372
46764,D34,關廟區,7137,埤頭段,2381,120.3138916895,23.0086328418
46765,D34,關廟區,7137,埤頭段,783,120.2985250652,23.0097103806
46766,D34,關廟區,7137,埤頭段,1754,120.3148991816,23.0026001716
46767,D34,關廟區,7137,埤頭段,2647,120.3307321946,22.9963601511
46768,D34,關廟區,7137,埤頭段,1049,120.3062842503,23.0053486394
46769,D34,關廟區,7137,埤頭段,2615,120.3263963694,22.9966007982
46770,D34,關廟區,7137,埤頭段,516,120.2996663454,22.9994107733
46771,D34,關廟區,7137,埤頭段,1112,120.3085229224,23.0104936938
46772,D34,關廟區,7137,埤頭段,1853,120.3100932133,23.0059843398
46773,D34,關廟區,7137,埤頭段,2856,120.3339760867,22.9944217679
46774,D34,關廟區,7137,埤頭段,2062,120.3111956953,23.0064594174
46775,D34,關廟區,7137,埤頭段,2113,120.3098604256,23.0094747417
46776,D34,關廟區,7137,埤頭段,2126,120.3098288952,23.0089825646
46777,D34,關廟區,7137,埤頭段,2411,120.3153072106,23.0087936277
46778,D34,關廟區,7137,埤頭段,2156,120.3100549891,23.0090472877
46779,D34,關廟區,7137,埤頭段,1491,120.3086632750,23.0008006613
46780,D34,關廟區,7137,埤頭段,2053,120.3128969512,23.0062897425
46781,D34,關廟區,7137,埤頭段,2406,120.3159226613,23.0081981122
46782,D34,關廟區,7137,埤頭段,542,120.3001494805,23.0023990431
46783,D34,關廟區,7137,埤頭段,1530,120.3110273225,22.9949729923
46784,D34,關廟區,7137,埤頭段,153,120.3040383538,22.9932961438
46785,D34,關廟區,7137,埤頭段,1652,120.3184039104,22.9932966821
46786,D34,關廟區,7137,埤頭段,2626,120.3281666477,22.9954918083
46787,D34,關廟區,7137,埤頭段,513,120.3007391612,22.9990958361
46788,D34,關廟區,7137,埤頭段,2776,120.3251691371,23.0031934514
46789,D34,關廟區,7137,埤頭段,1302,120.3083319189,22.9963515673
46790,D34,關廟區,7137,埤頭段,274,120.3005535328,22.9962415348
46791,D34,關廟區,7137,埤頭段,2740,120.3305166407,23.0059529007
46792,D34,關廟區,7137,埤頭段,1788,120.3100823785,23.0021325498
46793,D34,關廟區,7137,埤頭段,386,120.3026769360,22.9972234592
46794,D34,關廟區,7137,埤頭段,1905,120.3113544666,23.0055875959
46795,D34,關廟區,7137,埤頭段,2755,120.3287875222,23.0025059830
46796,D34,關廟區,7137,埤頭段,606,120.3038333515,22.9997689370
46797,D34,關廟區,7137,埤頭段,1668,120.3185843060,22.9963181390
46798,D34,關廟區,7137,埤頭段,1467,120.3117218069,22.9990101097
46799,D34,關廟區,7137,埤頭段,1539,120.3119375108,22.9949665447
46800,D34,關廟區,7137,埤頭段,1132,120.3083675050,23.0106588343
46801,D34,關廟區,7137,埤頭段,2000,120.3165339129,23.0052481967
46802,D34,關廟區,7137,埤頭段,2,120.2995809828,22.9920391112
46803,D34,關廟區,7137,埤頭段,20,120.2990819553,22.9930098757
46804,D34,關廟區,7137,埤頭段,200,120.3045290638,22.9957713055
46805,D34,關廟區,7137,埤頭段,1916,120.3130581515,23.0037535468
46806,D34,關廟區,7137,埤頭段,1657,120.3176826410,22.9936751280
46807,D34,關廟區,7137,埤頭段,1031,120.3082419674,23.0025198688
46808,D34,關廟區,7137,埤頭段,1096,120.3089034790,23.0102634744
46809,D34,關廟區,7137,埤頭段,1258,120.3085124873,23.0011510112
46810,D34,關廟區,7137,埤頭段,1183,120.3090137359,23.0085285349
46811,D34,關廟區,7137,埤頭段,1305,120.3083305602,22.9963142371
46812,D34,關廟區,7137,埤頭段,1704,120.3181668260,22.9985501989
46813,D34,關廟區,7137,埤頭段,2594,120.3269908968,22.9932380005
46814,D34,關廟區,7137,埤頭段,661,120.3021000244,23.0035357952
46815,D34,關廟區,7137,埤頭段,1579,120.3146120705,22.9953960459
46816,D34,關廟區,7137,埤頭段,1782,120.3108686369,23.0011481358
46817,D34,關廟區,7137,埤頭段,2418,120.3144050942,23.0091372964
46818,D34,關廟區,7137,埤頭段,1354,120.3090166245,22.9949930734
46819,D34,關廟區,7137,埤頭段,423,120.3018660624,22.9975576069
46820,D34,關廟區,7137,埤頭段,282,120.2994494125,22.9970001631
46821,D34,關廟區,7137,埤頭段,2820,120.3290427368,23.0080550977
